epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3348.76,2.09729,2.70501,2.52753,0.35867,0.42739,0.39123,0.19879,2.05915,2.3859,2.69104,0.0013648,0.0013648,0.0013648
43,3432.63,2.07051,2.65941,2.53386,0.48237,0.4403,0.43071,0.2155,2.01983,2.55808,2.74919,0.00136168,0.00136168,0.00136168
44,3514.07,2.05473,2.68817,2.52106,0.43536,0.45302,0.45989,0.22946,1.9887,2.26868,2.72013,0.00135849,0.00135849,0.00135849
45,3587.98,2.0537,2.57478,2.48029,0.49415,0.46314,0.53801,0.24357,1.98649,2.40788,2.68355,0.00135523,0.00135523,0.00135523
46,3671.75,2.07016,2.6536,2.51112,0.46171,0.50763,0.52868,0.23664,1.97432,2.46575,2.65899,0.0013519,0.0013519,0.0013519
47,3752.01,1.99614,2.54582,2.47336,0.43579,0.42902,0.49452,0.26726,1.94699,2.40895,2.64803,0.00134851,0.00134851,0.00134851
48,3814.98,2.03661,2.60814,2.51507,0.36285,0.49453,0.42913,0.22087,1.99304,2.33734,2.67649,0.00134504,0.00134504,0.00134504
49,3896.51,2.00064,2.52536,2.4499,0.55392,0.44084,0.51741,0.25075,2.03062,2.38791,2.69262,0.0013415,0.0013415,0.0013415
50,3976.8,2.00907,2.50897,2.43234,0.34243,0.55277,0.47827,0.23798,1.95266,2.27704,2.65796,0.0013379,0.0013379,0.0013379
51,4046.74,1.9925,2.51285,2.4415,0.66356,0.48729,0.52167,0.27089,2.02326,2.42836,2.76767,0.00133423,0.00133423,0.00133423
52,4129.88,2.03295,2.56373,2.45667,0.62664,0.47473,0.54848,0.2957,1.99982,2.17915,2.67363,0.0013305,0.0013305,0.0013305
53,4213.15,1.99279,2.50586,2.46279,0.50531,0.59012,0.55204,0.27847,1.84606,2.16096,2.59321,0.00132669,0.00132669,0.00132669
54,4286.18,1.95764,2.47277,2.41926,0.58751,0.52332,0.56971,0.2972,1.89252,2.06008,2.59486,0.00132282,0.00132282,0.00132282
55,4368.28,1.98432,2.53405,2.4252,0.52831,0.5805,0.61432,0.32311,1.70789,2.1095,2.47421,0.00131888,0.00131888,0.00131888
56,4448.31,1.95677,2.4512,2.44868,0.74512,0.3906,0.59372,0.32229,1.75818,2.03412,2.48946,0.00131488,0.00131488,0.00131488
57,4512.85,1.96863,2.45305,2.40864,0.57601,0.53776,0.56295,0.30199,1.7655,2.02862,2.47077,0.00131082,0.00131082,0.00131082
58,4592.47,1.94546,2.44146,2.3952,0.63504,0.44653,0.5794,0.2949,1.78288,2.04103,2.50217,0.00130668,0.00130668,0.00130668
59,4675.76,1.95592,2.35821,2.41115,0.68876,0.60603,0.64818,0.30506,1.83968,2.11713,2.58739,0.00130249,0.00130249,0.00130249
60,4746.14,1.9439,2.30711,2.4068,0.66619,0.55872,0.65417,0.35323,1.75558,1.85424,2.49906,0.00129823,0.00129823,0.00129823
61,4829.25,1.93024,2.25118,2.39176,0.75748,0.5498,0.68299,0.3468,1.75878,1.83835,2.46772,0.00129391,0.00129391,0.00129391
